cbsa,cbsatitle,metropolitanmicropolitanstatis,statename
45380,"Taylorville, IL",Micropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
14010,"Bloomington, IL",Metropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
20820,"Effingham, IL",Micropolitan Statistical Area,Illinois
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Illinois
15900,"Canton, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,Illinois
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Illinois
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Illinois
34500,"Mount Vernon, IL",Micropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
28100,"Kankakee, IL",Metropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
23660,"Galesburg, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
36860,"Ottawa-Peru, IL",Micropolitan Statistical Area,Illinois
19940,"Dixon, IL",Micropolitan Statistical Area,Illinois
38700,"Pontiac, IL",Micropolitan Statistical Area,Illinois
30660,"Lincoln, IL",Micropolitan Statistical Area,Illinois
31380,"Macomb, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
14010,"Bloomington, IL",Metropolitan Statistical Area,Illinois
19500,"Decatur, IL",Metropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
16460,"Centralia, IL",Micropolitan Statistical Area,Illinois
37900,"Peoria, IL",Metropolitan Statistical Area,Illinois
37140,"Paducah, KY-IL",Micropolitan Statistical Area,Illinois
44100,"Springfield, IL",Metropolitan Statistical Area,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
